time_step,sensor_value
0,55.0
1,54.97160749459009
2,55.2328162345483
3,55.72803181392662
4,55.46566858859546
5,55.28802007708462
6,55.80433853938681
7,55.88763913277429
8,55.51903135786477
9,55.62121796576042
10,55.34665638354794
11,55.15965405473396
12,55.28244463336189
13,54.62006315772309
14,54.22832296902661
15,54.36702544308428
16,54.31242691804195
17,54.744685409037714
18,54.62547135989397
19,54.37152365645843
20,55.20704362864344
21,55.20590883488013
22,55.31377105605686
23,54.87297787406509
24,54.87855055826175
25,55.11780829718168
26,54.84961805592937
27,55.202226945571546
28,55.113335320428504
29,55.1652419118723
30,55.09907202403033
31,55.91764778139935
32,55.84362941832127
33,55.432341767690325
34,55.808529956619346
35,55.36267569214368
36,55.556975242752245
37,54.93999812656865
38,54.7351335714836
39,55.131494932592716
40,55.60450975581329
41,55.74313572748579
42,55.74571811040418
43,55.68861638382667
44,55.24254877205007
45,55.2018386674969
46,55.270063497411904
47,55.85503722736495
48,56.02079246050443
49,55.40549066797614
50,55.71127285687148
51,55.68311220166433
52,55.56725584105794
53,55.943165789834865
54,56.359065885757985
55,56.62129416172126
56,56.19117978007696
57,56.08160151450595
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,56.60174407314775
71,57.099533649466515
72,56.903134440938075
73,57.331819388191555
74,56.17336278530267
75,56.573019826243204
76,56.601580352253606
77,56.49245367391447
78,56.55883384352756
79,55.883534570358975
80,56.03558903850816
81,56.34990172698482
82,56.9681941245489
83,56.708341310788455
84,56.4308661565393
85,56.34999134432293
86,56.79538468222177
87,56.907832165936135
88,56.692066444836826
89,56.912090112975456
90,56.92644022135463
91,57.24753390163475
92,56.893555148287255
93,56.78280685249186
94,56.68872694314805
95,56.25387862835739
96,56.571357136822776
97,56.7873193410389
98,56.854913248552094
99,56.82433377730516
100,56.39565388439597
101,56.44973185610931
102,56.52086221849214
103,56.41580650871693
104,56.572614557018746
105,56.886247989798214
106,57.63053865828243
107,57.55847929528885
108,57.543078143455155
109,57.422098629900454
110,56.69789911557566
111,56.85924952449573
112,57.00855524062637
113,57.96012340780831
114,57.702760047792424
115,57.70147360327146
116,57.58888240289319
117,57.1191803688584
118,57.60541424328113
119,57.81496653173717
120,57.98133775368108
121,57.5086508183986
122,57.993033581706655
123,57.35647563521736
124,57.61293292748224
125,58.35971251827107
126,57.775111048994006
127,57.52037352893483
128,57.58113944803506
129,57.41858113468387
130,56.94427459340557
131,57.184989256566
132,56.96368617979206
133,57.35233767657676
134,57.1428378916219
135,57.86646356589147
136,57.56238584380635
137,57.51694855999246
138,57.8885950180741
139,57.43921400189999
