timestamp,value,clean_value,trend_component,regime,event_component,is_missing,is_outage,is_outlier
2018-01-01T00:00:00,27.388690,27.388690,22.000000,0,0.000000,0,0,0
2018-01-01T01:00:00,28.059398,28.059398,22.002502,0,0.000000,0,0,0
2018-01-01T02:00:00,32.574884,32.574884,22.005008,0,0.000000,0,0,0
2018-01-01T03:00:00,32.593000,32.593000,22.007518,0,0.000000,0,0,0
2018-01-01T04:00:00,36.408867,36.408867,22.010032,0,0.000000,0,0,0
2018-01-01T05:00:00,36.402392,36.402392,22.012550,0,0.000000,0,0,0
2018-01-01T06:00:00,37.890435,37.890435,22.015072,0,0.000000,0,0,0
2018-01-01T07:00:00,40.506288,40.506288,22.017598,0,0.000000,0,0,0
2018-01-01T08:00:00,39.964377,39.964377,22.020128,0,0.000000,0,0,0
2018-01-01T09:00:00,39.528800,39.528800,22.022662,0,0.000000,0,0,0
2018-01-01T10:00:00,36.609932,36.609932,22.025200,0,0.000000,0,0,0
2018-01-01T11:00:00,36.017743,36.017743,22.027742,0,0.000000,0,0,0
2018-01-01T12:00:00,34.105676,34.105676,22.030288,0,0.000000,0,0,0
2018-01-01T13:00:00,32.181429,32.181429,22.032838,0,0.000000,0,0,0
2018-01-01T14:00:00,28.208761,28.208761,22.035392,0,0.000000,0,0,0
2018-01-01T15:00:00,25.985305,25.985305,22.037950,0,0.000000,0,0,0
2018-01-01T16:00:00,24.133188,24.133188,22.040512,0,0.000000,0,0,0
2018-01-01T17:00:00,25.607477,25.607477,22.043078,0,0.000000,0,0,0
2018-01-01T18:00:00,25.180174,25.180174,22.045648,0,0.000000,0,0,0
2018-01-01T19:00:00,26.221989,26.221989,22.048222,0,0.000000,0,0,0
2018-01-01T20:00:00,26.945234,26.945234,22.050800,0,0.000000,0,0,0
2018-01-01T21:00:00,26.584230,26.584230,22.053382,0,0.000000,0,0,0
2018-01-01T22:00:00,32.074486,32.074486,22.055968,0,0.000000,0,0,0
2018-01-01T23:00:00,33.006459,33.006459,22.058558,0,0.000000,0,0,0
2018-01-02T00:00:00,33.186770,33.186770,22.061152,0,0.000000,0,0,0
2018-01-02T01:00:00,41.676770,41.676770,22.063750,1,0.000000,0,0,0
2018-01-02T02:00:00,43.173868,43.173868,22.066352,1,0.000000,0,0,0
2018-01-02T03:00:00,51.082654,51.082654,22.068958,1,0.000000,0,0,0
2018-01-02T04:00:00,51.016717,51.016717,22.071568,1,0.000000,0,0,0
2018-01-02T05:00:00,44.490094,44.490094,22.074182,1,0.000000,0,0,0
2018-01-02T06:00:00,37.892945,37.892945,22.076800,1,0.000000,0,0,0
2018-01-02T07:00:00,39.659903,39.659903,22.079422,1,0.000000,0,0,0
2018-01-02T08:00:00,29.752830,29.752830,22.082048,1,0.000000,0,0,0
2018-01-02T09:00:00,31.783285,31.783285,22.084678,1,0.000000,0,0,0
2018-01-02T10:00:00,19.491372,19.491372,22.087312,2,0.000000,0,0,0
2018-01-02T11:00:00,19.867278,19.867278,22.089950,2,0.000000,0,0,0
2018-01-02T12:00:00,18.255044,18.255044,22.092592,2,0.000000,0,0,0
2018-01-02T13:00:00,17.117499,17.117499,22.095238,2,0.000000,0,0,0
2018-01-02T14:00:00,16.121779,16.121779,22.097888,2,0.000000,0,0,0
2018-01-02T15:00:00,15.131679,15.131679,22.100542,2,0.000000,0,0,0
2018-01-02T16:00:00,13.529157,13.529157,22.103200,2,0.000000,0,0,0
2018-01-02T17:00:00,13.640526,13.640526,22.105862,2,0.000000,0,0,0
2018-01-02T18:00:00,26.846817,26.846817,22.108528,1,0.000000,0,0,0
2018-01-02T19:00:00,30.394229,30.394229,22.111198,1,0.000000,0,0,0
2018-01-02T20:00:00,33.188536,33.188536,22.113872,1,0.000000,0,0,0
2018-01-02T21:00:00,34.157507,34.157507,22.116550,1,0.000000,0,0,0
2018-01-02T22:00:00,34.275923,34.275923,22.119232,1,0.000000,0,0,0
2018-01-02T23:00:00,35.877084,35.877084,22.121918,1,0.000000,0,0,0
2018-01-03T00:00:00,38.605107,38.605107,22.124608,1,0.000000,0,0,0
2018-01-03T01:00:00,38.024199,38.024199,22.127302,1,0.000000,0,0,0
2018-01-03T02:00:00,39.797126,39.797126,22.130000,1,0.000000,0,0,0
2018-01-03T03:00:00,46.466328,46.466328,22.132702,1,0.000000,0,0,0
2018-01-03T04:00:00,52.833823,52.833823,22.135408,1,0.000000,0,0,0
2018-01-03T05:00:00,47.800615,47.800615,22.138118,1,0.000000,0,0,0
2018-01-03T06:00:00,29.126412,29.126412,22.140832,2,0.000000,0,0,0
2018-01-03T07:00:00,27.828407,27.828407,22.143550,2,0.000000,0,0,0
2018-01-03T08:00:00,45.322997,45.322997,22.146272,2,0.000000,0,0,0
2018-01-03T09:00:00,40.548279,40.548279,22.148998,2,0.000000,0,0,0
2018-01-03T10:00:00,30.664662,30.664662,22.151728,2,0.000000,0,0,0
2018-01-03T11:00:00,22.551721,22.551721,22.154462,2,0.000000,0,0,0
2018-01-03T12:00:00,3.276227,3.276227,22.157200,2,-16.818144,0,0,1
2018-01-03T13:00:00,28.510667,28.510667,22.159942,3,-9.800640,0,0,1
2018-01-03T14:00:00,29.843226,29.843226,22.162688,3,-5.711245,0,0,0
2018-01-03T15:00:00,27.059615,27.059615,22.165438,3,-3.328183,0,0,0
2018-01-03T16:00:00,34.329766,34.329766,22.168192,3,-1.939472,0,0,0
2018-01-03T17:00:00,17.539972,17.539972,22.170950,3,-1.130212,0,0,0
2018-01-03T18:00:00,19.941907,19.941907,22.173712,3,-0.658622,0,0,0
2018-01-03T19:00:00,37.140014,37.140014,22.176478,3,-0.383807,0,0,0
2018-01-03T20:00:00,33.124564,33.124564,22.179248,0,-0.223660,0,0,0
